             VARIABLE : Tropical Cyclone Heat Potential (KJ/cm2)
             DATA SET : GODAS-MOM OUTPUT
             FILENAME : tchp_5day.nc
             FILEPATH : /home/las/datasets/ocean_analysis/NRIG/
             BAD FLAG : -1.E+34
             SUBSET   : 180 by 188 points (LONGITUDE-LATITUDE)
             Z=0:4737
             TIME     : 06-AUG-2016 12:00 JULIAN
  	30.3E	30.8E	31.3E	31.8E	32.3E	32.8E	33.3E	33.8E	34.3E	34.8E	35.3E	35.8E	36.3E	36.8E	37.3E	37.8E	38.3E	38.8E	39.3E	39.8E	40.3E	40.8E	41.3E	41.8E	42.3E	42.8E	43.3E	43.8E	44.3E	44.8E	45.3E	45.8E	46.3E	46.8E	47.3E	47.8E	48.3E	48.8E	49.3E	49.8E	50.3E	50.8E	51.3E	51.8E	52.3E	52.8E	53.3E	53.8E	54.3E	54.8E	55.3E	55.8E	56.3E	56.8E	57.3E	57.8E	58.3E	58.8E	59.3E	59.8E	60.3E	60.8E	61.3E	61.8E	62.3E	62.8E	63.3E	63.8E	64.3E	64.8E	65.3E	65.8E	66.3E	66.8E	67.3E	67.8E	68.3E	68.8E	69.3E	69.8E	70.3E	70.8E	71.3E	71.8E	72.3E	72.8E	73.3E	73.8E	74.3E	74.8E	75.3E	75.8E	76.3E	76.8E	77.3E	77.8E	78.3E	78.8E	79.3E	79.8E	80.3E	80.8E	81.3E	81.8E	82.3E	82.8E	83.3E	83.8E	84.3E	84.8E	85.3E	85.8E	86.3E	86.8E	87.3E	87.8E	88.3E	88.8E	89.3E	89.8E	90.3E	90.8E	91.3E	91.8E	92.3E	92.8E	93.3E	93.8E	94.3E	94.8E	95.3E	95.8E	96.3E	96.8E	97.3E	97.8E	98.3E	98.8E	99.3E	99.8E	100.3E	100.8E	101.3E	101.8E	102.3E	102.8E	103.3E	103.8E	104.3E	104.8E	105.3E	105.8E	106.3E	106.8E	107.3E	107.8E	108.3E	108.8E	109.3E	109.8E	110.3E	110.8E	111.3E	111.8E	112.3E	112.8E	113.3E	113.8E	114.3E	114.8E	115.3E	115.8E	116.3E	116.8E	117.3E	117.8E	118.3E	118.8E	119.3E	119.8E
24.9S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
24.4S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
23.9S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
23.5S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
23S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
22.6S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
22.1S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
21.7S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
21.3S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
20.9S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34
20.4S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00670584	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34
20S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.172725	4.593156	0	0	0	0	0	0	0	0	0
19.6S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3040814	3.009267	6.272364	9.160771	11.20718	9.390584	2.879128	0	0	0	0	0	0	0
19.2S	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	-1.E+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.557202	8.116568	10.75897	12.3676	13.68881	14.80688	15.23369	14.18837	11.41383	7.847169	0.2056043	0	0	0	0
